long.fips,long.name,short.fips,year,median.age,hs.plus,bachelors.plus,ag.percent.employ,mean.income,median.income,white.percent,papers.total,papers.daily,ktype_use,k.seats,party.presence,party.comp,general.presence,general.comp,population,pop_density
620L500US35003,"State House District 3 (2016), New Mexico",35003,2018,38.8,83,14.4,1.59,65342,50749,74.94,3482,3482,SMD,1,1,1,1,1,26169,28.34535647
620L500US35030,"State House District 30 (2016), New Mexico",35030,2018,39.9,93.3,39.6,0.78,63242,47065,75.07,738,369,SMD,1,1,1,1,1,28058,5511.294441
620L500US35031,"State House District 31 (2016), New Mexico",35031,2018,47.2,97.6,64.9,0.52,133499,104008,83.5,1050,525,SMD,1,1,1,1,1,31105,909.0510565
620L500US35032,"State House District 32 (2016), New Mexico",35032,2018,39,70.3,12.9,6.84,40119,27977,91.27,7314,6167,SMD,1,1,1,1,1,28846,4.318503965
620L500US35033,"State House District 33 (2016), New Mexico",35033,2018,28.1,83.8,31.8,0.74,46298,31293,88.57,2154,1077,SMD,1,1,1,1,1,30081,1327.727754
620L500US35034,"State House District 34 (2016), New Mexico",35034,2018,31.9,70.1,18.5,3.25,50124,36051,92.32,3022,1511,SMD,1,1,1,1,1,31218,28.99867352
620L500US35035,"State House District 35 (2016), New Mexico",35035,2018,33.1,82.4,23,0.87,51120,36640,90.25,1578,789,SMD,1,1,1,1,1,30733,2937.302877
620L500US35036,"State House District 36 (2016), New Mexico",35036,2018,33.5,81.8,29,7.12,57670,48357,89.27,2524,1262,SMD,1,1,1,1,1,28906,64.89780157
620L500US35037,"State House District 37 (2016), New Mexico",35037,2018,34.3,92.7,43.8,0,69400,50821,85.56,1712,856,SMD,1,1,1,1,1,32489,1320.315357
620L500US35038,"State House District 38 (2016), New Mexico",35038,2018,51.3,87.5,27.1,2.66,57296,38368,91.61,5913,3742,SMD,1,1,1,1,1,28293,4.328195733
620L500US35039,"State House District 39 (2016), New Mexico",35039,2018,41.5,77.1,23.3,6.38,53644,35221,91.28,5598,3779,SMD,1,1,1,1,1,28938,13.51585514
620L500US35004,"State House District 4 (2016), New Mexico",35004,2018,32.6,84.4,13.3,1.38,59919,47778,21.52,3777,3777,SMD,1,1,1,1,1,28099,29.2358963
620L500US35040,"State House District 40 (2016), New Mexico",35040,2018,42.4,87.4,19.6,3.22,47357,33128,57.43,2038,0,SMD,1,1,1,1,1,28071,5.301628696
620L500US35041,"State House District 41 (2016), New Mexico",35041,2018,44.2,83.9,22.9,1.74,50825,34375,64.69,6642,37,SMD,1,0,0,0,1,29991,7.507404522
620L500US35042,"State House District 42 (2016), New Mexico",35042,2018,46.5,87.3,26.3,1.83,48476,34647,77.52,3093,0,SMD,1,1,1,1,1,29282,21.2589553
620L500US35043,"State House District 43 (2016), New Mexico",35043,2018,41.6,91,49.6,0.8,98548,80990,81.25,3536,991,SMD,1,1,1,1,1,27612,13.88756165
620L500US35044,"State House District 44 (2016), New Mexico",35044,2018,44,95.2,35.1,0.88,88519,72632,83.81,883,0,SMD,1,1,1,1,1,30457,1372.122359
620L500US35045,"State House District 45 (2016), New Mexico",35045,2018,37.6,86.3,35,0.47,71056,54933,84.6,1656,552,SMD,1,0,0,1,1,30337,1874.274064
620L500US35046,"State House District 46 (2016), New Mexico",35046,2018,46.7,90.1,40.2,0.86,77859,52106,75.43,5265,1755,SMD,1,1,1,1,1,29783,62.59273426
620L500US35047,"State House District 47 (2016), New Mexico",35047,2018,51.9,91.2,51.9,0.61,103994,70992,86.95,3972,1324,SMD,1,1,1,1,1,30906,71.26288363
620L500US35048,"State House District 48 (2016), New Mexico",35048,2018,41.8,83.9,34.7,0.6,63471,44453,84.12,1806,602,SMD,1,0,0,0,1,31104,3011.035818
620L500US35049,"State House District 49 (2016), New Mexico",35049,2018,40.2,82.5,19.7,5.57,46471,35637,83.72,3998,0,SMD,1,0,0,0,1,28576,2.095950618
620L500US35005,"State House District 5 (2016), New Mexico",35005,2018,31.3,77.3,13.8,0.97,46210,31670,17.38,9694,6312,SMD,1,0,0,0,1,30700,10.60978623
620L500US35050,"State House District 50 (2016), New Mexico",35050,2018,49.8,91.4,35.1,3.13,68587,50953,88.33,3210,978,SMD,1,1,1,1,1,28844,16.18540833
620L500US35051,"State House District 51 (2016), New Mexico",35051,2018,37.1,88.1,19.9,0.45,55364,45830,78.64,973,973,SMD,1,1,1,1,1,30031,316.3388916
620L500US35052,"State House District 52 (2016), New Mexico",35052,2018,30.3,67.8,24.4,4.98,55266,34231,92.35,2296,1148,SMD,1,1,1,1,1,28871,212.2118664
620L500US35053,"State House District 53 (2016), New Mexico",35053,2018,29.4,68.5,11.3,1.35,46210,29766,79.25,4526,2718,SMD,1,1,1,1,1,30815,12.66822969
620L500US35054,"State House District 54 (2016), New Mexico",35054,2018,37.3,81.4,14,3.93,61532,48945,91.59,9557,9557,SMD,1,0,0,0,1,29907,3.943824599
