candidate_ID,assigned_ID,year,name,first_name,last_name,bp_url
AK-8IS112D_Myers_R,8IS112D,2020,Robert Myers Jr.,Robert,Myers,https://ballotpedia.org/Robert_Myers_Jr._(Alaska)
AK-Y6Y320E_Eads_E,Y6Y320E,2020,Evan Eads,Evan,Eads,https://ballotpedia.org/Evan_Eads
AK-2Q0Y90V_Sanford_M,2Q0Y90V,2020,Marna Sanford,Marna,Sanford,https://ballotpedia.org/Marna_Sanford
AK-8372WJV_Wilson_D,8372WJV,2020,David S. Wilson,David,Wilson,https://ballotpedia.org/David_S._Wilson
AK-26WKQ69_Lamb_T,26WKQ69,2020,Thomas Lamb,Thomas,Lamb,https://ballotpedia.org/Thomas_Lamb
AK-X3F039M_Mayfield_J,X3F039M,2020,James Mayfield,James,Mayfield,https://ballotpedia.org/James_Mayfield
AK-B1514GZ_Hughes_S,B1514GZ,2020,Shelley Hughes,Shelley,Hughes,https://ballotpedia.org/Shelley_Hughes
AK-P596LM4_Christiansen_G,P596LM4,2020,Gavin Christiansen,Gavin,Christiansen,https://ballotpedia.org/Gavin_Christiansen
AK-J56DS31_Cooper_J,J56DS31,2020,Jim Cooper,Jim,Cooper,https://ballotpedia.org/Jim_Cooper_(Alaska)
AK-3O46Q2G_Wielechowski_B,3O46Q2G,2020,Bill Wielechowski,Bill,Wielechowski,https://ballotpedia.org/Bill_Wielechowski
AK-16DW1V9_Gaiser_M,16DW1V9,2020,Madeleine Gaiser,Madeleine,Gaiser,https://ballotpedia.org/Madeleine_Gaiser
AK-842YCA3_Begich_T,842YCA3,2020,Tom Begich,Tom,Begich,https://ballotpedia.org/Tom_Begich
AK-F44K3K7_Imhof_N,F44K3K7,2020,Natasha A. Von Imhof,Natasha,Imhof,https://ballotpedia.org/Natasha_A._Von_Imhof
AK-1FJH519_Cacy_R,1FJH519,2020,Roselynn Cacy,Roselynn,Cacy,https://ballotpedia.org/Roselynn_Cacy
AK-8G14NO1_Johnson_C,8G14NO1,2020,Carl Johnson,Carl,Johnson,https://ballotpedia.org/Carl_Johnson_(Alaska)
AK-IR8P483_Holland_R,IR8P483,2020,Roger Holland,Roger,Holland,https://ballotpedia.org/Roger_Holland
AK-SN4D781_Clift_C,SN4D781,2020,Carolyn Clift,Carolyn,Clift,https://ballotpedia.org/Carolyn_%22Care%22_Clift
AK-8F30J5N_Stevens_G,8F30J5N,2020,Gary Stevens,Gary,Stevens,https://ballotpedia.org/Gary_Stevens
AK-1S41K0L_Madden_G,1S41K0L,2020,Greg Madden,Greg,Madden,https://ballotpedia.org/Greg_Madden
AK-Y6HY792_Stedman_B,Y6HY792,2020,Bert Stedman,Bert,Stedman,https://ballotpedia.org/Bert_K._Stedman
AK-R87D9S6_Olson_D,R87D9S6,2020,Donald Olson,Donald,Olson,https://ballotpedia.org/Donald_C._Olson
AK-FA75V12_Baker_T,FA75V12,2020,Thomas Baker,Thomas,Baker,https://ballotpedia.org/Thomas_Baker_(Alaska)
AZ-9O394ER_Carillo_G,9O394ER,2020,Gilbert Carillo,Gilbert,Carillo,https://ballotpedia.org/Gilbert_Carillo
AZ-U778V1Y_Fann_K,U778V1Y,2020,Karen Fann,Karen,Fann,https://ballotpedia.org/Karen_Fann
AZ-Y56E1J8_Gabaldon_R,Y56E1J8,2020,Rosanna Gabaldon,Rosanna,Gabaldon,https://ballotpedia.org/Rosanna_Gabaldon
AZ-9CP448E_Workman_M,9CP448E,2020,Mark Workman,Mark,Workman,https://ballotpedia.org/Mark_Workman
AZ-CL26B59_Gonzales_S,CL26B59,2020,Sally Ann Gonzales,Sally,Gonzales,https://ballotpedia.org/Sally_Ann_Gonzales
AZ-7F0Z3P8_Otondo_L,7F0Z3P8,2020,Lisa Otondo,Lisa,Otondo,https://ballotpedia.org/Lisa_Otondo
AZ-S1326KH_Angry_T,S1326KH,2020,Travis Angry,Travis,Angry,https://ballotpedia.org/Travis_Angry
AZ-2KL462Y_Snyder_G,2KL462Y,2020,Gary Snyder,Gary,Snyder,https://ballotpedia.org/Gary_Snyder_(Arizona)
AZ-2208VAG_Murray_A,2208VAG,2020,Amanda Murray,Amanda,Murray,https://ballotpedia.org/Amanda_Murray
AZ-6T5WS83_Schul_Z,6T5WS83,2020,Zachary Schul,Zachary,Schul,https://ballotpedia.org/Zachary_Schul
AZ-5Y6P1B1_Borrelli_S,5Y6P1B1,2020,Sonny Borrelli,Sonny,Borrelli,https://ballotpedia.org/Sonny_Borrelli
AZ-61EH9B3_French_F,61EH9B3,2020,Felicia French,Felicia,French,https://ballotpedia.org/Felicia_French
AZ-U5513CX_Rogers_W,U5513CX,2020,Wendy Rogers,Wendy,Rogers,https://ballotpedia.org/Wendy_Rogers
AZ-K982KN4_Peshlakai_J,K982KN4,2020,Jamescita Peshlakai,Jamescita,Peshlakai,https://ballotpedia.org/Jamescita_Peshlakai
AZ-54C4NM9_McGuire_B,54C4NM9,2020,Barbara McGuire,Barbara,McGuire,https://ballotpedia.org/Barbara_McGuire
AZ-AS0387H_Shope_T,AS0387H,2020,T.J. Shope,T.J.,Shope,https://ballotpedia.org/T.J._Shope
AZ-ZRA4448_Steele_V,ZRA4448,2020,Victoria Steele,Victoria,Steele,https://ballotpedia.org/Victoria_Steele
AZ-2Y13NH3_Engel_K,2Y13NH3,2020,Kirsten Engel,Kirsten,Engel,https://ballotpedia.org/Kirsten_Engel
AZ-F3WT627_Wadsack_J,F3WT627,2020,Justine Wadsack,Justine,Wadsack,https://ballotpedia.org/Justine_Wadsack
AZ-5X97Q3C_Mendoza_J,5X97Q3C,2020,JoAnna Mendoza,JoAnna,Mendoza,https://ballotpedia.org/JoAnna_Mendoza
AZ-81CH2Y4_Leach_V,81CH2Y4,2020,Vince Leach,Vince,Leach,https://ballotpedia.org/Vince_Leach
AZ-3FL5L52_Robinson_L,3FL5L52,2020,Lynsey Robinson,Lynsey,Robinson,https://ballotpedia.org/Lynsey_Robinson
AZ-36NZ46U_Petersen_W,36NZ46U,2020,Warren Petersen,Warren,Petersen,https://ballotpedia.org/Warren_Petersen
AZ-9BEW521_Kerr_S,9BEW521,2020,Sine Kerr,Sine,Kerr,https://ballotpedia.org/Sine_Kerr
AZ-41W7JB0_Backus_B,41W7JB0,2020,Brent Backus,Brent,Backus,https://ballotpedia.org/Brent_Backus
